Wall time,Step,Value
1565832772.9338715,0,2373.611328125
1565833353.6364512,10,763.8431396484375
1565834002.440812,20,398.7070617675781
1565834510.680108,30,234.94155883789062
1565835028.477184,40,225.318115234375
1565835533.142571,50,186.48463439941406
1565836451.0602605,60,151.4984893798828
1565837467.5422359,70,134.10975646972656
1565838079.7272606,80,142.03475952148438
1565838710.790537,90,114.07835388183594
1565839392.8778212,100,110.3785171508789
