Wall time,Step,Value
1565806413.9787295,0,2373.611328125
1565807100.1069162,10,635.0425415039062
1565807728.790676,20,256.8559265136719
1565808219.2675254,30,189.51239013671875
1565808823.7669563,40,145.26812744140625
1565809390.5040123,50,143.8868865966797
1565810030.9170184,60,145.00233459472656
1565810684.3558302,70,150.80665588378906
1565811330.6006005,80,129.9418182373047
1565811974.9811707,90,132.93856811523438
1565812712.6628132,100,144.4287567138672
1565813300.9690764,110,140.98361206054688
1565813889.573213,120,147.10379028320312
1565814482.3182495,130,131.91700744628906
1565815036.5915964,140,126.43831634521484
1565815631.9592025,150,108.7034912109375
1565816240.5403943,160,118.20499420166016
1565816851.2232249,170,95.91077423095703
1565817472.6589642,180,89.74514770507812
1565818126.2747288,190,97.9373550415039
